square_feet,bedrooms,bathrooms,age,location,price
850,2,1,10,suburb,120000
900,3,2,5,suburb,145000
700,2,1,20,downtown,98000
1560,4,3,12,suburb,235000
1200,3,2,8,suburb,180000
1130,3,2,6,suburb,175000
1750,4,3,15,uptown,250000
980,2,1,7,downtown,130000
640,1,1,30,suburb,83000
2100,5,4,3,uptown,340000
1450,3,2,10,suburb,205000
1800,4,3,5,uptown,265000
1020,2,1,25,downtown,115000
1340,3,2,9,suburb,190000
1600,4,2,14,suburb,240000
890,2,1,18,downtown,105000
1350,3,2,11,suburb,198000
1455,3,2,13,uptown,215000
1720,4,3,4,uptown,285000
940,2,1,22,suburb,112000
